,window,asset,cum_return,avg_daily,ann_vol,max_dd,n_days
0,pre_event,SP500,0.3,0.01,11.75,-2.59,39
1,pre_event,WTI,16.92,0.414,33.82,-5.01,39
2,pre_event,GOLD,21.23,0.518,41.94,-13.08,39
3,pre_event,XOM,25.17,0.579,29.41,-5.48,39
4,pre_event,CVX,20.97,0.489,24.88,-5.28,39
5,pre_event,VIX,36.87,1.093,127.89,-22.15,39
6,pre_event,JETS,0.57,0.035,33.22,-8.7,39
7,shock,SP500,2.32,0.075,17.5,-7.82,33
8,shock,WTI,32.94,1.059,98.5,-19.19,33
9,shock,GOLD,-9.61,-0.283,34.03,-17.36,33
10,shock,XOM,-1.45,-0.028,29.23,-13.1,33
11,shock,CVX,-0.76,-0.008,27.74,-12.43,33
12,shock,VIX,-16.32,-0.106,150.34,-42.22,33
13,shock,JETS,-3.86,-0.091,38.14,-14.66,33
14,reopen,SP500,0.14,0.019,9.7,-0.87,9
15,reopen,WTI,27.47,3.114,45.16,-1.51,9
16,reopen,GOLD,-6.43,-0.823,15.84,-6.43,9
17,reopen,XOM,5.62,0.692,18.56,-1.55,9
18,reopen,CVX,4.47,0.555,19.03,-1.5,9
19,reopen,VIX,7.61,1.003,69.46,-8.56,9
20,reopen,JETS,-10.71,-1.398,21.5,-10.71,9
