asset,pre_event,shock,reopen,correction,diplomacy
BWET,205.93,71.1,9.9,-8.8,20.54
WTI,16.92,32.94,25.31,-14.3,-7.9
ARAMCO,4.52,8.02,2.06,1.45,0.59
NKY,13.54,2.52,1.38,11.45,-1.37
SP500,0.3,2.32,1.16,4.84,-2.22
DXY,-0.82,-0.16,-0.02,0.71,0.55
XLE,22.5,-0.16,8.42,-4.35,0.44
CVX,20.97,-0.76,5.07,-3.41,0.75
XOM,25.17,-1.45,5.39,-4.26,-1.59
DAX,3.04,-1.96,-1.66,4.64,-1.47
TLT,4.75,-3.33,-1.67,0.18,0.35
JETS,0.57,-3.86,-8.95,13.82,2.07
ITA,9.78,-8.54,-5.77,8.86,1.69
GOLD,21.23,-9.61,-5.0,-1.5,-5.81
UNG,-4.48,-10.17,-2.21,11.39,-1.65
VIX,36.87,-16.32,-3.38,-9.83,10.16
